ProdId,Description,SalesGroup
R-61778,ALF|Flatbread|4 Cheese,OK - AL FORNO
R-61780,ALF|Flatbread|Apple & Pancetta,OK - AL FORNO
R-61749,ALF|Flatbread|BBQ Chicken,OK - AL FORNO
R-50859,ALF|Flatbread|Bruschetta,OK - AL FORNO
R-50788,ALF|Flatbread|Caprese,OK - AL FORNO
R-61781,ALF|Flatbread|Chick Artichoke,OK - AL FORNO
R-50858,ALF|Flatbread|Greek,OK - AL FORNO
R-61498,ALF|Flatbread|Hawaii Five-0,OK - AL FORNO
R-50562,ALF|Flatbread|Italian,OK - AL FORNO
R-56337,ALF|Flatbread|Mediterranean,OK - AL FORNO
R-61782,ALF|Flatbread|Mushroom,OK - AL FORNO
R-61779,ALF|Flatbread|Mushroom Pesto,OK - AL FORNO
R-50590,ALF|Flatbread|OK,OK - AL FORNO
R-50494,ALF|Flatbread|Proscuitto,OK - AL FORNO
R-50824,ALF|Flatbread|Pulled Pork,OK - AL FORNO
R-61755,ALF|Flatbread|Roasted Root Veg,OK - AL FORNO
R-61742,ALF|Flatbread|Shrimp Pesto,OK - AL FORNO
R-50896,ALF|Flatbread|Smoked Salmon,OK - AL FORNO
R-61763,ALF|Pasta|Bolognese Lasagna,OK - AL FORNO
R-61659,ALF|Pasta|Cauliflower Cheese,OK - AL FORNO
R-56505,ALF|Pasta|Chicken Alfredo,OK - AL FORNO
R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO
R-61435,ALF|Pasta|Mac & Cheese,OK - AL FORNO
R-56504,ALF|Pasta|Shrimp Pesto,OK - AL FORNO
R-61688,ALF|Pasta|Spin Mush Lasagna,OK - AL FORNO
R-61758,ALF|Pasta|Tuna Casserole,OK - AL FORNO
R-56454,GRL|Chicken Burger|Maui,OK - GRILL KITCHEN DAY
R-56491,GRL|Sandwich|Bahn Mi,OK - GRILL KITCHEN DAY
R-61739,GRL|Sandwich|Chicken Crunch,OK - GRILL KITCHEN DAY
R-56458,GRL|Sandwich|Crispy Fish,OK - GRILL KITCHEN DAY
R-56508,GRL|Sandwich|Cubano,OK - GRILL KITCHEN DAY
R-56456,GRL|Sandwich|Monte Cristo,OK - GRILL KITCHEN DAY
R-50491,GRL|Sandwich|Reuben,OK - GRILL KITCHEN DAY
R-56924,GRL|Sandwich|Shrimp,OK - GRILL KITCHEN DAY
R-56493,GRL|Sandwich|Tuna Melt,OK - GRILL KITCHEN FEATURES
R-36043,SQR|AlooGobi 225g,OK - SQUARE MEAL
R-47340,SQR|Brown Rice 170g,OK - SQUARE MEAL
R-28323,SQR|Butter Chicken,OK - SQUARE MEAL
R-37050,SQR|Butter Chicken+1,OK - SQUARE MEAL
R-37051,SQR|Butter Chicken+2,OK - SQUARE MEAL
R-57165,SQR|Cabbage & Apple|Side,OK - SQUARE MEAL
R-54176,SQR|Chicken Cacciatore,OK - SQUARE MEAL
R-57710,SQR|Chicken Cacciatore +1,OK - SQUARE MEAL
R-57711,SQR|Chicken Cacciatore +2,OK - SQUARE MEAL
R-28324,SQR|Garlic Naan Bread,OK - SQUARE MEAL
R-57565,SQR|Green Beans|Steamed,OK - SQUARE MEAL
R-42369,SQR|Paneer TikaMasala+1,OK - SQUARE MEAL
R-42370,SQR|Paneer TikaMasala+2,OK - SQUARE MEAL
R-42358,SQR|PaneerTikaMasala,OK - SQUARE MEAL
R-56115,SQR|Perogy (No Smokie),OK - SQUARE MEAL
R-57808,SQR|Perogy (no smokie) +1,OK - SQUARE MEAL
R-44570,SQR|Perogy & Smokie,OK - SQUARE MEAL
R-57809,SQR|Perogy & Smokie +1,OK - SQUARE MEAL
R-56884,SQR|Ratatouille Spaghetti,OK - SQUARE MEAL
R-57712,SQR|Ratatouille Spaghetti +1,OK - SQUARE MEAL
R-57713,SQR|Ratatouille Spaghetti +2,OK - SQUARE MEAL
R-51585,SQR|Roasted Garlic Bread,OK - SQUARE MEAL
R-61434,SQR|Roasted Garlic Bread.,OK - SQUARE MEAL
R-30537,SQR|Smokie|SIde,OK - SQUARE MEAL
R-30406,G&G|Croissant|Multigrain|OK,OK - GRAB & GO
R-58255,GRL|Add Bacon|2 pcs.,OK - GRILL KITCHEN DAY
R-55155,GRL|Breakfast BLT,OK - GRILL KITCHEN BREAKFAST
R-28280,GRL|Breakfast Entree,OK - GRILL KITCHEN BREAKFAST
R-50368,GRL|BreakfastCroissant,OK - GRILL KITCHEN BREAKFAST
R-44024,GRL|Burrito|Wrap,OK - GRILL KITCHEN BREAKFAST
R-55131,GRL|Crepe|Blueberry,OK - GRILL KITCHEN BREAKFAST
R-51146,GRL|Crepe|Ham and Swiss,OK - GRILL BRUNCH
R-50569,GRL|Crepe|Nutella Banana,OK - GRILL KITCHEN BREAKFAST
R-61686,GRL|Crepe|Orange Ricotta,OK - GRILL BRUNCH
R-37340,GRL|Egg Any Style,OK - GRILL KITCHEN BREAKFAST
R-28291,GRL|Grilled Tomato,OK - GRILL KITCHEN BREAKFAST
R-50348,GRL|Pancakes|AppleOat,OK - GRILL KITCHEN BREAKFAST
R-56489,GRL|Pancakes|Blueberry,OK - GRILL KITCHEN BRUNCH
R-50351,GRL|Pancakes|Oatmeal Raisin,OK - GRILL KITCHEN BREAKFAST
R-12346,GRL|Pancakes|Straw Chocolate,OK - GRILL KITCHEN BREAKFAST
R-56488,GRL|Pancakes|Straw/Rhubarb,OK - GRILL KITCHEN BRUNCH
R-12345,GRL|Pancakes|Strawberry,OK - GRILL KITCHEN BRUNCH
R-35772,GRL|PotatoWedges,OK - GRILL KITCHEN BREAKFAST
R-28281,GRL|Sandwich|Breakfast,OK - GRILL KITCHEN BREAKFAST
R-28286,GRL|ScrambledEggs,OK - GRILL KITCHEN BREAKFAST
R-28288,GRL|TurkeyBreakfastSausage(2),OK - GRILL KITCHEN BREAKFAST
R-28337,SQR|Braised Brisket 115g,OK - SQUARE MEAL
R-38628,SQR|Braised Brisket+1,OK - SQUARE MEAL
R-38629,SQR|Braised Brisket+2,OK - SQUARE MEAL
R-57385,SQR|Chicken Piccata,OK - SQUARE MEAL
R-57386,SQR|Chicken Piccata+1,OK - SQUARE MEAL
R-57387,SQR|Chicken Piccata+2,OK - SQUARE MEAL
R-32195,SQR|Creamed Corn 170g,OK - SQUARE MEAL
R-56501,SQR|Mac & Aged Cheddar,OK - SQUARE MEAL
R-59715,SQR|Mac & Aged Cheddar +1,OK - SQUARE MEAL
R-59716,SQR|Mac & Aged Cheddar +2,OK - SQUARE MEAL
R-28318,SQR|Seasonal Vegetable,OK - SQUARE MEAL
R-59717,SQR|Spicy Soy Green Beans.,OK - SQUARE MEAL
R-41084,SQR|Spicy Soy Salmon 100g,OK - SQUARE MEAL
R-41085,SQR|Spicy Soy Salmon+1,OK - SQUARE MEAL
R-41086,SQR|Spicy Soy Salmon+2,OK - SQUARE MEAL
R-41088,SQR|Spicy Soy Tofu 150g,OK - SQUARE MEAL
R-41089,SQR|Spicy Soy Tofu+1,OK - SQUARE MEAL
R-41093,SQR|Spicy Soy Tofu+2,OK - SQUARE MEAL
R-35799,SQR|STEW|Tomato Spanish 350g,OK - SQUARE MEAL
R-45125,SQR|STEW|Tomato Spanish+1,OK - SQUARE MEAL
R-45126,SQR|STEW|TomatoSpanish +2,OK - SQUARE MEAL
R-59571,SQR|Warm Potato Salad,OK - SQUARE MEAL
R-54202,VEG|Bibimbap Bowl,OK- VEGETARIAN KITCHEN FEATURE
R-32886,VEG|Curried Chickpea Bowl,OK - VEGETARIAN KITCHEN
R-56539,VEG|Hulk Bowl,OK- VEGETARIAN KITCHEN FEATURE
R-57098,VEG|Kale Wh Bean Quesadilla,OK - VEGETARIAN KITCHEN
R-25415,VEG|King Oyster Mushroom Bowl,OK - VEGETARIAN KITCHEN
