invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount,Food Category,Category ID
247973,9001094224,8190.64,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-03,GORDON FOOD SERVICE (GFS),9,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
248381,9001112003,5367.66,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-06,GORDON FOOD SERVICE (GFS),51,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
248383,9001132129,4406.91,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-08,GORDON FOOD SERVICE (GFS),51,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
248663,9001144510,9116.11,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-09,GORDON FOOD SERVICE (GFS),9,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
248997,9001185341,7931.74,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-14,GORDON FOOD SERVICE (GFS),9,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
249661,9001238078,8418.19,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-20,GORDON FOOD SERVICE (GFS),9,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
249552,9001238073,9511.67,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-20,GORDON FOOD SERVICE (GFS),51,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
249849,9001250256,3091.22,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-21,GORDON FOOD SERVICE (GFS),81,B,Y,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
250308,9001283316,7626.41,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-24,GORDON FOOD SERVICE (GFS),9,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
250257,9001312343,6348.98,1016,1.0,69.53,69.53,cs,69.53,brownie rocky road 12x16in tfc,2023-03-28,GORDON FOOD SERVICE (GFS),51,B,N,2.0,SHEET,26,19,BAKED GOODS,5801205,N,1.0,2.0,cs,2,Food,N,0,"wheat/rye (bread, pasta, baked goods)",24.0
