ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
,1.0,1.0,XXX,1.0,L
,0.87719298,1.0,1.14L,1.14,L
,0.66666667,1.0,1.5L,1.5,L
,0.57142857,1.0,1.75 L,1.75,L
,0.5,1.0,2L,2.0,L
,0.25,1.0,4L,4.0,L
,0.08333333,1.0,FOOT,12.0,INCH
,0.0625,1.0,16L,16.0,L
,0.0591716,1.0,1/2LTR,16.9,fl oz
,0.03937008,1.0,750ML,25.4,fl oz
,0.03333333,1.0,KEG 30L,30.0,L
,0.02597403,1.0,1140ml,38.5,fl oz
,0.025,1.0,full in,40.0,PTN
,0.02,1.0,KEG 50L,50.0,L
,0.01706485,1.0,KEG 59L,58.6,L
,0.01666667,1.0,HOUR,60.0,MINUTE
,0.002,1.0,500ML,500.0,ml
,0.00153846,1.0,650ML,650.0,ml
,0.00151515,1.0,660ML,660.0,ml
,0.00142857,1.0,700ML,700.0,ml
,0.00140845,1.0,710ml,710.0,ml
,0.00133333,1.0,750ML,750.0,ml
,0.00059172,1.0,keg50L,1690.0,fl oz
,0.00050403,1.0,keg59L,1984.0,fl oz
,2.0,2.0,cup,1.0,pt
,2.0,2.0,pt,1.0,qt
,2.0,2.0,Tbsp,1.0,fl oz
,3.0,3.0,tsp,1.0,Tbsp
,4.0,4.0,qt,1.0,gal
,8.0,8.0,fl oz,1.0,cup
,16.0,16.0,oz,1.0,lb
,28.3495,28.3495,g,1.0,oz
,29.5735,29.5735,ml,1.0,fl oz
,35.21126761,100.0,fl oz,2.84,L
,1000.0,1000.0,g,1.0,Kg
,1000.0,1000.0,mg,1.0,g
,1000.0,1000.0,ml,1.0,L
I-1120,0.02,1.0,CT,50.0,g
I-1813,0.03278689,1.0,fl oz,30.5,g
I-1813,0.00409836,1.0,cup,244.0,g
I-1820,0.03215434,1.0,fl oz,31.1,g
I-1820,0.00401606,1.0,cup,249.0,g
I-1821,0.03194888,1.0,fl oz,31.3,g
I-1821,0.004,1.0,cup,250.0,g
I-2158,0.01666667,1.0,CT,60.0,g
I-2217,0.06666667,1.0,Tbsp,15.0,g
I-2220,0.03278689,1.0,fl oz,30.5,g
I-2220,0.00409836,1.0,cup,244.0,g
I-2220,0.00102459,1.0,qt,976.0,g
I-2251,0.03278689,1.0,fl oz,30.5,g
I-2251,0.00409836,1.0,cup,244.0,g
I-2251,0.00102459,1.0,qt,976.0,g
I-2254,0.06666667,1.0,Tbsp,15.0,g
I-2254,0.00413223,1.0,cup,242.0,g
I-3141,1.4084507,1.4085,ml,1.0,g
I-3159,0.0004,1.0,bottle,2500.0,g
I-3348,0.06666667,1.0,Tbsp,15.0,g
I-3365,0.00401606,1.0,cup,249.0,g
I-3365,0.001,1.0,L,1000.0,g
I-3370,0.00401606,1.0,cup,249.0,g
I-3388,0.22222222,1.0,tsp,4.5,g
I-3388,0.07142857,1.0,Tbsp,14.0,g
I-3388,0.00458716,1.0,cup,218.0,g
I-3389,0.22222222,1.0,tsp,4.5,g
I-3389,0.07407407,1.0,Tbsp,13.5,g
I-3389,0.00462963,1.0,cup,216.0,g
I-3449,0.001875,0.1875,L,100.0,g
